2.537400000000000072e-02,4.778700000000000309e-02,8.173030000000000017e-01,7.429310000000000080e-01,-3.768799999999999928e-02,2.724800000000000139e-02,-6.677509999999999835e-01,-2.500799999999999898e-02,1.806290000000000118e-01,4.496700000000000003e-02,1.264959999999999973e-01,7.610200000000000298e-02,-1.105109999999999981e-01,-2.376599999999999893e-02,-3.968900000000000206e-02,-2.018739999999999979e-01,1.442869999999999986e-01,9.683700000000000641e-02,5.942100000000000160e-02,4.620300000000000101e-02,9.363200000000000689e-02,-3.732800000000000007e-02,1.523799999999999981e-02,7.849200000000000621e-02,-1.574949999999999961e-01,3.681519999999999793e-01,-7.598599999999999799e-02,4.808400000000000174e-02,2.385200000000000167e-02,2.775000000000000123e-03,-1.262979999999999936e-01,2.190890000000000060e-01,3.524459999999999815e-01,3.692200000000000343e-02,5.040200000000000236e-02,1.863599999999999979e-02
2.506600000000000147e-02,4.783199999999999952e-02,8.173550000000000537e-01,7.427300000000000013e-01,-3.666799999999999921e-02,2.854399999999999993e-02,-6.679770000000000429e-01,-2.809100000000000139e-02,1.805569999999999953e-01,4.321400000000000241e-02,1.248419999999999946e-01,7.856699999999999795e-02,-1.124219999999999942e-01,-2.681599999999999956e-02,-3.874899999999999872e-02,-2.016060000000000074e-01,1.424509999999999943e-01,9.752500000000000058e-02,5.848600000000000326e-02,4.539900000000000185e-02,9.503699999999999648e-02,-3.955700000000000188e-02,1.556399999999999971e-02,7.917899999999999938e-02,-1.569389999999999952e-01,3.693859999999999921e-01,-7.472499999999999976e-02,4.500900000000000040e-02,2.306499999999999870e-02,4.884000000000000320e-03,-1.338850000000000040e-01,2.256489999999999885e-01,3.401210000000000067e-01,2.953000000000000069e-02,4.841499999999999970e-02,2.616599999999999829e-02
2.487699999999999981e-02,4.778199999999999809e-02,8.173359999999999514e-01,7.425920000000000298e-01,-3.603900000000000159e-02,2.910400000000000140e-02,-6.681399999999999562e-01,-2.998299999999999924e-02,1.807169999999999888e-01,4.353800000000000031e-02,1.247710000000000069e-01,7.950000000000000122e-02,-1.125609999999999944e-01,-2.901799999999999866e-02,-3.840699999999999670e-02,-2.006880000000000053e-01,1.427859999999999963e-01,9.715100000000000124e-02,5.761700000000000155e-02,4.519600000000000006e-02,9.584199999999999664e-02,-3.928100000000000341e-02,1.592000000000000012e-02,8.110100000000000642e-02,-1.569609999999999894e-01,3.673730000000000051e-01,-7.340099999999999403e-02,4.487900000000000222e-02,2.233699999999999922e-02,8.220999999999999142e-03,-1.426900000000000113e-01,2.299049999999999983e-01,3.234219999999999873e-01,2.112899999999999848e-02,4.989099999999999785e-02,3.475500000000000117e-02
2.460700000000000040e-02,4.782299999999999746e-02,8.173150000000000137e-01,7.424500000000000544e-01,-3.547499999999999959e-02,2.957100000000000006e-02,-6.683080000000000132e-01,-3.161300000000000221e-02,1.808450000000000057e-01,4.390299999999999758e-02,1.247100000000000014e-01,8.039100000000000412e-02,-1.126869999999999955e-01,-3.104700000000000168e-02,-3.811300000000000104e-02,-1.997269999999999879e-01,1.432889999999999997e-01,9.666500000000000092e-02,5.677399999999999808e-02,4.515600000000000169e-02,9.661699999999999455e-02,-3.872799999999999854e-02,1.625199999999999909e-02,8.307100000000000595e-02,-1.571120000000000017e-01,3.649910000000000099e-01,-7.216000000000000192e-02,4.516400000000000275e-02,2.172500000000000125e-02,1.168300000000000068e-02,-1.517040000000000055e-01,2.337869999999999948e-01,3.062960000000000127e-01,1.274999999999999918e-02,5.179700000000000276e-02,4.327899999999999803e-02
2.453899999999999831e-02,4.773499999999999965e-02,8.173589999999999467e-01,7.427709999999999591e-01,-3.495399999999999896e-02,3.012799999999999853e-02,-6.679530000000000189e-01,-3.345800000000000163e-02,1.812189999999999912e-01,4.387200000000000127e-02,1.245949999999999974e-01,7.926500000000000212e-02,-1.129020000000000024e-01,-3.251300000000000023e-02,-3.867299999999999904e-02,-2.028850000000000098e-01,1.429670000000000107e-01,9.735000000000000597e-02,5.753099999999999881e-02,4.532599999999999824e-02,9.629799999999999471e-02,-3.753700000000000092e-02,1.661199999999999830e-02,8.567199999999999815e-02,-1.584119999999999973e-01,3.606650000000000134e-01,-6.977099999999999969e-02,4.509699999999999820e-02,2.055200000000000082e-02,1.288399999999999962e-02,-1.551530000000000131e-01,2.360800000000000121e-01,2.983069999999999888e-01,9.131999999999999493e-03,5.318400000000000211e-02,4.670900000000000052e-02
2.435899999999999871e-02,4.765500000000000291e-02,8.173500000000000210e-01,7.429160000000000208e-01,-3.445499999999999952e-02,3.070799999999999919e-02,-6.677920000000000522e-01,-3.529899999999999705e-02,1.814540000000000042e-01,4.339200000000000002e-02,1.244920000000000054e-01,7.967399999999999483e-02,-1.131780000000000008e-01,-3.409700000000000231e-02,-3.866499999999999798e-02,-2.040049999999999919e-01,1.429449999999999887e-01,9.728399999999999548e-02,5.671600000000000252e-02,4.540700000000000292e-02,9.596799999999999775e-02,-3.620700000000000307e-02,1.691900000000000001e-02,8.858299999999999508e-02,-1.596370000000000011e-01,3.560679999999999956e-01,-6.745600000000000207e-02,4.524700000000000250e-02,1.944900000000000101e-02,1.361700000000000063e-02,-1.581980000000000053e-01,2.385819999999999885e-01,2.911839999999999984e-01,5.657999999999999835e-03,5.401299999999999851e-02,4.986999999999999766e-02
2.426299999999999985e-02,4.757800000000000223e-02,8.173409999999999842e-01,7.430569999999999675e-01,-3.395700000000000107e-02,3.128600000000000131e-02,-6.676339999999999497e-01,-3.712800000000000128e-02,1.816909999999999914e-01,4.292200000000000182e-02,1.243620000000000003e-01,8.010799999999999865e-02,-1.134619999999999934e-01,-3.570500000000000063e-02,-3.865999999999999992e-02,-2.051129999999999898e-01,1.429610000000000047e-01,9.720199999999999674e-02,5.589500000000000024e-02,4.546300000000000341e-02,9.561200000000000254e-02,-3.487400000000000222e-02,1.724399999999999891e-02,9.160000000000000087e-02,-1.608370000000000077e-01,3.512989999999999724e-01,-6.508999999999999508e-02,4.542600000000000110e-02,1.830899999999999889e-02,1.426700000000000017e-02,-1.613600000000000034e-01,2.411790000000000045e-01,2.839380000000000237e-01,2.070999999999999924e-03,5.474799999999999806e-02,5.309900000000000037e-02
2.401199999999999862e-02,4.736599999999999838e-02,8.173359999999999514e-01,7.431529999999999525e-01,-3.331300000000000233e-02,3.205800000000000316e-02,-6.675219999999999487e-01,-3.916300000000000336e-02,1.819459999999999966e-01,4.331999999999999740e-02,1.243770000000000014e-01,7.958400000000000196e-02,-1.137569999999999970e-01,-3.740999999999999881e-02,-3.804899999999999949e-02,-2.051620000000000110e-01,1.428550000000000098e-01,9.695399999999999852e-02,5.621999999999999914e-02,4.482499999999999679e-02,9.526099999999999846e-02,-3.438200000000000284e-02,1.848199999999999843e-02,8.924999999999999600e-02,-1.603849999999999998e-01,3.525209999999999733e-01,-6.602399999999999936e-02,4.562200000000000283e-02,1.891299999999999926e-02,1.485999999999999995e-02,-1.586549999999999905e-01,2.374229999999999952e-01,2.897080000000000211e-01,6.389999999999999847e-03,5.521199999999999719e-02,5.129399999999999932e-02
2.366499999999999854e-02,4.708699999999999691e-02,8.173270000000000257e-01,7.432400000000000118e-01,-3.271099999999999702e-02,3.282500000000000001e-02,-6.674179999999999557e-01,-4.121699999999999670e-02,1.826419999999999988e-01,4.358499999999999874e-02,1.242779999999999996e-01,7.973600000000000132e-02,-1.142549999999999955e-01,-3.924400000000000110e-02,-3.749999999999999861e-02,-2.056290000000000062e-01,1.427980000000000083e-01,9.680600000000000316e-02,5.561499999999999777e-02,4.441099999999999909e-02,9.496499999999999386e-02,-3.419200000000000017e-02,1.923300000000000010e-02,8.711599999999999899e-02,-1.601829999999999921e-01,3.538120000000000154e-01,-6.697300000000000475e-02,4.568300000000000138e-02,1.950599999999999903e-02,1.502099999999999963e-02,-1.557560000000000056e-01,2.338890000000000136e-01,2.962099999999999733e-01,1.071800000000000010e-02,5.491700000000000054e-02,4.940100000000000047e-02
2.340300000000000019e-02,4.690099999999999825e-02,8.173179999999999890e-01,7.433239999999999847e-01,-3.210600000000000259e-02,3.359499999999999986e-02,-6.673149999999999915e-01,-4.328599999999999809e-02,1.833460000000000090e-01,4.384699999999999709e-02,1.241720000000000046e-01,7.989999999999999880e-02,-1.147589999999999999e-01,-4.110199999999999965e-02,-3.694399999999999767e-02,-2.060939999999999994e-01,1.427529999999999910e-01,9.666299999999999892e-02,5.500000000000000028e-02,4.400099999999999845e-02,9.465899999999999315e-02,-3.400899999999999757e-02,1.996799999999999964e-02,8.511299999999999422e-02,-1.599839999999999873e-01,3.548669999999999880e-01,-6.779699999999999616e-02,4.569899999999999657e-02,2.001500000000000154e-02,1.520999999999999956e-02,-1.531089999999999951e-01,2.303979999999999917e-01,3.022580000000000267e-01,1.481000000000000025e-02,5.453100000000000308e-02,4.774099999999999872e-02
